image_id,dog_id,label,fold
BDSE_001,dog_0193,N,3
BDSE_002,dog_0299,A,2
BDSE_003,dog_0197,A,1
BDSE_004,dog_0436,H,2
BDSE_005,dog_0340,H,2
BDSE_006,dog_0218,A,4
BDSE_007,dog_0411,H,1
BDSE_008,dog_0397,H,2
BDSE_009,dog_0135,N,3
BDSE_010,dog_0140,N,2
BDSE_011,dog_0344,H,4
BDSE_012,dog_0203,A,2
BDSE_013,dog_0215,A,0
BDSE_014,dog_0262,A,1
BDSE_015,dog_0180,N,0
BDSE_016,dog_0192,N,1
BDSE_017,dog_0096,N,4
BDSE_018,dog_0312,A,1
BDSE_019,dog_0162,N,1
BDSE_020,dog_0112,N,4
BDSE_021,dog_0139,N,0
BDSE_022,dog_0425,H,1
BDSE_023,dog_0266,A,3
BDSE_024,dog_0015,N,4
BDSE_025,dog_0109,N,1
BDSE_026,dog_0266,A,3
BDSE_027,dog_0023,N,3
BDSE_028,dog_0064,N,0
BDSE_029,dog_0020,N,1
BDSE_030,dog_0267,A,0
BDSE_031,dog_0261,A,0
BDSE_032,dog_0322,A,0
BDSE_033,dog_0219,A,1
BDSE_034,dog_0330,A,4
BDSE_035,dog_0243,A,4
BDSE_036,dog_0380,H,4
BDSE_037,dog_0311,A,0
BDSE_038,dog_0376,H,3
BDSE_039,dog_0048,N,0
BDSE_040,dog_0037,N,3
BDSE_041,dog_0249,A,2
BDSE_042,dog_0365,H,0
BDSE_043,dog_0050,N,2
BDSE_044,dog_0253,A,3
BDSE_045,dog_0209,A,4
BDSE_046,dog_0349,H,2
BDSE_047,dog_0035,N,3
BDSE_048,dog_0319,A,2
BDSE_049,dog_0290,A,1
BDSE_050,dog_0332,A,0
BDSE_051,dog_0226,A,1
BDSE_052,dog_0184,N,1
BDSE_053,dog_0077,N,0
BDSE_054,dog_0007,N,1
BDSE_055,dog_0393,H,1
BDSE_056,dog_0336,A,0
BDSE_057,dog_0360,H,4
BDSE_058,dog_0042,N,4
BDSE_059,dog_0320,A,1
BDSE_060,dog_0045,N,3
BDSE_061,dog_0245,A,2
BDSE_062,dog_0058,N,2
BDSE_063,dog_0101,N,3
BDSE_064,dog_0341,H,2
BDSE_065,dog_0031,N,0
BDSE_066,dog_0017,N,1
BDSE_067,dog_0237,A,2
BDSE_068,dog_0329,A,0
BDSE_069,dog_0371,H,3
BDSE_070,dog_0183,N,0
BDSE_071,dog_0174,N,2
BDSE_072,dog_0266,A,3
BDSE_073,dog_0223,A,2
BDSE_074,dog_0280,A,4
BDSE_075,dog_0413,H,0
BDSE_076,dog_0307,A,0
BDSE_077,dog_0374,H,4
BDSE_078,dog_0138,H,1
BDSE_079,dog_0032,N,0
BDSE_080,dog_0036,N,2
BDSE_081,dog_0325,A,3
BDSE_082,dog_0058,N,2
BDSE_083,dog_0060,N,2
BDSE_084,dog_0276,A,0
BDSE_085,dog_0016,N,4
BDSE_086,dog_0306,A,4
BDSE_087,dog_0061,N,4
BDSE_088,dog_0288,A,3
BDSE_089,dog_0104,N,3
BDSE_090,dog_0327,A,3
BDSE_091,dog_0141,N,1
BDSE_092,dog_0312,A,1
BDSE_093,dog_0187,N,3
BDSE_094,dog_0220,A,1
BDSE_095,dog_0418,H,0
BDSE_096,dog_0355,H,2
BDSE_097,dog_0265,A,0
BDSE_098,dog_0024,N,2
BDSE_099,dog_0416,H,2
BDSE_100,dog_0169,N,2
BDSE_101,dog_0158,N,1
BDSE_102,dog_0386,H,2
BDSE_103,dog_0298,A,2
BDSE_104,dog_0430,H,3
BDSE_105,dog_0221,A,0
BDSE_106,dog_0136,N,1
BDSE_107,dog_0271,A,0
BDSE_108,dog_0322,A,0
BDSE_109,dog_0154,N,4
BDSE_110,dog_0223,A,2
BDSE_111,dog_0258,A,4
BDSE_112,dog_0012,N,4
BDSE_113,dog_0383,H,0
BDSE_114,dog_0318,A,1
BDSE_115,dog_0172,N,1
BDSE_116,dog_0044,N,0
BDSE_117,dog_0108,N,0
BDSE_118,dog_0407,H,4
BDSE_119,dog_0300,A,4
BDSE_120,dog_0406,H,2
BDSE_121,dog_0408,H,3
BDSE_122,dog_0076,N,2
BDSE_123,dog_0128,N,4
BDSE_124,dog_0121,N,0
BDSE_125,dog_0182,N,4
BDSE_126,dog_0315,A,3
BDSE_127,dog_0424,H,1
BDSE_128,dog_0331,A,0
BDSE_129,dog_0356,H,1
BDSE_130,dog_0018,N,3
BDSE_131,dog_0011,N,1
BDSE_132,dog_0389,H,0
BDSE_133,dog_0284,A,1
BDSE_134,dog_0069,N,2
BDSE_135,dog_0279,A,0
BDSE_136,dog_0274,A,4
BDSE_137,dog_0308,A,1
BDSE_138,dog_0043,N,0
BDSE_139,dog_0343,H,2
BDSE_140,dog_0334,A,3
BDSE_141,dog_0160,N,3
BDSE_142,dog_0262,A,1
BDSE_143,dog_0063,N,0
BDSE_144,dog_0218,A,4
BDSE_145,dog_0326,A,0
BDSE_146,dog_0442,H,0
BDSE_147,dog_0223,A,2
BDSE_148,dog_0145,N,4
BDSE_149,dog_0002,N,0
BDSE_150,dog_0115,N,3
BDSE_151,dog_0317,A,0
BDSE_152,dog_0054,N,3
BDSE_153,dog_0168,N,1
BDSE_154,dog_0431,H,4
BDSE_155,dog_0041,N,1
BDSE_156,dog_0217,A,2
BDSE_157,dog_0231,A,4
BDSE_158,dog_0331,A,0
BDSE_159,dog_0250,A,1
BDSE_160,dog_0419,N,1
BDSE_161,dog_0223,A,2
BDSE_162,dog_0261,A,0
BDSE_163,dog_0208,A,2
BDSE_164,dog_0262,A,1
BDSE_165,dog_0071,N,1
BDSE_166,dog_0215,A,0
BDSE_167,dog_0211,A,1
BDSE_169,dog_0177,N,4
BDSE_170,dog_0285,A,3
BDSE_171,dog_0086,N,2
BDSE_172,dog_0309,A,3
BDSE_173,dog_0378,H,4
BDSE_174,dog_0059,N,4
BDSE_175,dog_0137,N,3
BDSE_176,dog_0270,A,1
BDSE_177,dog_0124,N,3
BDSE_178,dog_0116,N,1
BDSE_179,dog_0065,N,0
BDSE_180,dog_0272,A,1
BDSE_181,dog_0333,A,1
BDSE_182,dog_0185,N,3
BDSE_183,dog_0302,A,4
BDSE_184,dog_0092,N,3
BDSE_185,dog_0373,H,4
BDSE_186,dog_0074,N,1
BDSE_187,dog_0217,A,2
BDSE_188,dog_0363,H,1
BDSE_189,dog_0166,N,4
BDSE_190,dog_0337,A,4
BDSE_191,dog_0400,H,0
BDSE_192,dog_0094,N,0
BDSE_193,dog_0149,N,0
BDSE_194,dog_0225,A,0
BDSE_195,dog_0227,A,3
BDSE_196,dog_0420,H,0
BDSE_197,dog_0414,H,0
BDSE_198,dog_0381,H,1
BDSE_199,dog_0161,N,0
BDSE_200,dog_0364,H,0
BDSE_201,dog_0357,H,0
BDSE_202,dog_0388,H,4
BDSE_203,dog_0073,N,4
BDSE_204,dog_0324,A,2
BDSE_205,dog_0222,A,2
BDSE_206,dog_0151,N,2
BDSE_207,dog_0179,N,3
BDSE_208,dog_0214,A,3
BDSE_209,dog_0217,A,2
BDSE_210,dog_0428,H,3
BDSE_211,dog_0122,N,1
BDSE_212,dog_0329,A,0
BDSE_213,dog_0230,A,4
BDSE_214,dog_0019,N,2
BDSE_215,dog_0434,H,4
BDSE_216,dog_0220,A,1
BDSE_217,dog_0335,A,1
BDSE_218,dog_0206,A,3
BDSE_219,dog_0255,A,0
BDSE_220,dog_0353,H,4
BDSE_221,dog_0120,N,4
BDSE_222,dog_0257,A,0
BDSE_223,dog_0216,A,2
BDSE_224,dog_0099,N,0
BDSE_225,dog_0119,N,1
BDSE_226,dog_0281,A,2
BDSE_227,dog_0022,N,0
BDSE_228,dog_0305,A,4
BDSE_229,dog_0090,N,1
BDSE_230,dog_0205,A,2
BDSE_231,dog_0195,N,0
BDSE_232,dog_0350,H,2
BDSE_233,dog_0191,N,2
BDSE_234,dog_0398,H,1
BDSE_235,dog_0072,N,3
BDSE_236,dog_0262,A,1
BDSE_237,dog_0110,N,2
BDSE_238,dog_0129,N,3
BDSE_239,dog_0382,H,0
BDSE_240,dog_0078,N,3
BDSE_241,dog_0264,A,1
BDSE_242,dog_0392,H,1
BDSE_243,dog_0235,A,0
BDSE_244,dog_0046,N,4
BDSE_245,dog_0313,A,3
BDSE_246,dog_0107,N,3
BDSE_247,dog_0199,A,0
BDSE_248,dog_0252,A,0
BDSE_249,dog_0359,H,1
BDSE_250,dog_0131,N,0
