source_dataset,image_id,label,split_purpose,dog_id,origin_class,was_adjudicated,soft_A,soft_N,soft_H,sample_weight,n_class_votes,row_idx
BDSE,BDSE_001,N,in_domain_cv,dog_0193,N,False,0.0,1.0,0.0,1.0,3.0,0
BDSE,BDSE_002,A,in_domain_cv,dog_0299,A,True,1.0,0.0,0.0,0.6666666666666666,2.0,1
BDSE,BDSE_003,A,in_domain_cv,dog_0197,A,False,1.0,0.0,0.0,1.0,3.0,2
BDSE,BDSE_004,H,in_domain_cv,dog_0436,H,False,0.0,0.0,1.0,1.0,3.0,3
BDSE,BDSE_005,H,in_domain_cv,dog_0340,H,True,0.0,0.0,1.0,0.6666666666666666,2.0,4
BDSE,BDSE_006,A,in_domain_cv,dog_0218,A,False,1.0,0.0,0.0,1.0,3.0,5
BDSE,BDSE_007,H,in_domain_cv,dog_0411,H,False,0.0,0.0,1.0,1.0,3.0,6
BDSE,BDSE_008,H,in_domain_cv,dog_0397,H,False,0.0,0.0,1.0,1.0,3.0,7
BDSE,BDSE_009,N,in_domain_cv,dog_0135,N,False,0.0,1.0,0.0,1.0,3.0,8
BDSE,BDSE_010,N,in_domain_cv,dog_0140,N,False,0.0,1.0,0.0,1.0,3.0,9
BDSE,BDSE_011,H,in_domain_cv,dog_0344,H,False,0.0,0.0,1.0,1.0,3.0,10
BDSE,BDSE_012,A,in_domain_cv,dog_0203,A,False,1.0,0.0,0.0,1.0,3.0,11
BDSE,BDSE_013,A,in_domain_cv,dog_0215,A,False,1.0,0.0,0.0,1.0,3.0,12
BDSE,BDSE_014,A,in_domain_cv,dog_0262,A,False,1.0,0.0,0.0,1.0,3.0,13
BDSE,BDSE_015,N,in_domain_cv,dog_0180,N,False,0.0,1.0,0.0,1.0,3.0,14
BDSE,BDSE_016,N,in_domain_cv,dog_0192,N,False,0.0,1.0,0.0,1.0,3.0,15
BDSE,BDSE_017,N,in_domain_cv,dog_0096,N,False,0.0,1.0,0.0,1.0,3.0,16
BDSE,BDSE_018,A,in_domain_cv,dog_0312,A,False,1.0,0.0,0.0,1.0,3.0,17
BDSE,BDSE_019,N,in_domain_cv,dog_0162,N,False,0.0,1.0,0.0,1.0,3.0,18
BDSE,BDSE_020,N,in_domain_cv,dog_0112,N,True,0.0,0.6666666666666666,0.3333333333333333,1.0,3.0,19
BDSE,BDSE_021,N,in_domain_cv,dog_0139,N,True,0.0,0.5,0.5,0.6666666666666666,2.0,20
BDSE,BDSE_022,H,in_domain_cv,dog_0425,H,False,0.0,0.0,1.0,1.0,3.0,21
BDSE,BDSE_023,A,in_domain_cv,dog_0266,A,False,1.0,0.0,0.0,1.0,3.0,22
BDSE,BDSE_024,N,in_domain_cv,dog_0015,N,False,0.0,1.0,0.0,1.0,3.0,23
BDSE,BDSE_025,N,in_domain_cv,dog_0109,N,False,0.0,1.0,0.0,1.0,3.0,24
BDSE,BDSE_026,A,in_domain_cv,dog_0266,A,False,1.0,0.0,0.0,1.0,3.0,25
BDSE,BDSE_027,N,in_domain_cv,dog_0023,N,False,0.0,1.0,0.0,1.0,3.0,26
BDSE,BDSE_028,N,in_domain_cv,dog_0064,N,False,0.0,1.0,0.0,1.0,3.0,27
BDSE,BDSE_029,N,in_domain_cv,dog_0020,N,False,0.0,1.0,0.0,1.0,3.0,28
BDSE,BDSE_030,A,in_domain_cv,dog_0267,A,True,1.0,0.0,0.0,0.3333333333333333,1.0,29
BDSE,BDSE_031,A,in_domain_cv,dog_0261,A,False,1.0,0.0,0.0,1.0,3.0,30
BDSE,BDSE_032,A,in_domain_cv,dog_0322,A,False,1.0,0.0,0.0,1.0,3.0,31
BDSE,BDSE_033,A,in_domain_cv,dog_0219,A,False,1.0,0.0,0.0,1.0,3.0,32
BDSE,BDSE_034,A,in_domain_cv,dog_0330,A,False,1.0,0.0,0.0,1.0,3.0,33
BDSE,BDSE_035,A,in_domain_cv,dog_0243,A,False,1.0,0.0,0.0,1.0,3.0,34
BDSE,BDSE_036,H,in_domain_cv,dog_0380,H,False,0.0,0.0,1.0,1.0,3.0,35
BDSE,BDSE_037,A,in_domain_cv,dog_0311,A,True,0.5,0.5,0.0,0.6666666666666666,2.0,36
